	Unnamed: 0	target	text	sentiment	target_text
746	746	LOCATION1	LOCATION1 is quite nice and there are nice bits of LOCATION2 ( a bit further out but you wo n't have to change trains )	1	LOCATION1 is quite nice and there are nice bits of LOCATION2 ( a bit further out but you wo n't have to change trains ) [SEP] LOCATION1
4610	2554	service	While the food was good (certainly no Il Mulino) the service was horrendous.	-1	While the food was good (certainly no Il Mulino) the service was horrendous. [SEP] service
2770	714	features	I was looking too closely at the other performance specs and while comparing, I took it for granted that these features were standard.	0	I was looking too closely at the other performance specs and while comparing, I took it for granted that these features were standard. [SEP] features
2256	200	firewall	With a mac you don't have to worry about antivirus software or firewall, it's so wonderful.	0	With a mac you don't have to worry about antivirus software or firewall, it's so wonderful. [SEP] firewall
1608	1608	LOCATION1	"Also, you could go to LOCATION1 (""trendy"" area of East End, full of pubs, clubs and other interesting things"	1	"Also, you could go to LOCATION1 (""trendy"" area of East End, full of pubs, clubs and other interesting things [SEP] LOCATION1"
3144	1088	hard drive	I actually had the hard drive replaced twice, the mother board once, the dvd drive twice, then they FINALLY agreed to replace it, (ALL OF THIS IN LESS THAN 1 1/2 YEARS!	-1	I actually had the hard drive replaced twice, the mother board once, the dvd drive twice, then they FINALLY agreed to replace it, (ALL OF THIS IN LESS THAN 1 1/2 YEARS! [SEP] hard drive
2935	879	size	I get a ton of compliments on its size, and speaking as someone who regularly commutes on a bus, I can attest to the fact that this is the perfect size computer if you're restricted to the width of your body for computing room.	1	I get a ton of compliments on its size, and speaking as someone who regularly commutes on a bus, I can attest to the fact that this is the perfect size computer if you're restricted to the width of your body for computing room. [SEP] size
301	301	LOCATION1	Don't live in the LOCATION2 Naaa, theres nothing wrong with LOCATION1	1	Don't live in the LOCATION2 Naaa, theres nothing wrong with LOCATION1 [SEP] LOCATION1
4239	2183	tuna tartare	I had the tuna tartare with sake, mushroom ravioli with pinot noir, and the chocolate sampler with a dessert wine for $49.	1	I had the tuna tartare with sake, mushroom ravioli with pinot noir, and the chocolate sampler with a dessert wine for $49. [SEP] tuna tartare
1125	1125	LOCATION1	goldsmiths is an excellent uni :D but as has been said above , LOCATION1 is a bit of a skank area	-1	goldsmiths is an excellent uni :D but as has been said above , LOCATION1 is a bit of a skank area [SEP] LOCATION1
4442	2386	lime juice concoction	I ordered the crab cocktail and it was soaked in a lime juice concoction where all you could taste was the lime.	0	I ordered the crab cocktail and it was soaked in a lime juice concoction where all you could taste was the lime. [SEP] lime juice concoction
1270	1270	LOCATION1	If your looking for somewhere in particular though LOCATION1 is a good place , and like all places it has a range of expensive and not so expensive areas : )	1	If your looking for somewhere in particular though LOCATION1 is a good place , and like all places it has a range of expensive and not so expensive areas : ) [SEP] LOCATION1
2274	218	OS	The OS is also very user friendly, even for those that switch from a PC, with a little practice you can take full advantage of this OS!	1	The OS is also very user friendly, even for those that switch from a PC, with a little practice you can take full advantage of this OS! [SEP] OS
6022	3966	Nanbu Bijin	Sake collection was excellent (Try Nanbu Bijin), but pricy.	1	Sake collection was excellent (Try Nanbu Bijin), but pricy. [SEP] Nanbu Bijin
765	765	LOCATION1	LOCATION1 is very desirable area as it is so close to the centre - but it is expensive	1	LOCATION1 is very desirable area as it is so close to the centre - but it is expensive [SEP] LOCATION1
5708	3652	tables	Despite the fact that the space is large, they've overcrowded the floor with tables.	-1	Despite the fact that the space is large, they've overcrowded the floor with tables. [SEP] tables
3044	988	specifications	I did think it had a camera because that was one of my requirements, but forgot to check in the specifications on this one before I purchased.	0	I did think it had a camera because that was one of my requirements, but forgot to check in the specifications on this one before I purchased. [SEP] specifications
3552	1496	packed	It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.	-1	It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area. [SEP] packed
1880	1880	LOCATION1	LOCATION1, before I lived in LOCATION2 Both very nice areas	1	LOCATION1, before I lived in LOCATION2 Both very nice areas [SEP] LOCATION1
2072	16	hard drive light	One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.	-1	One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does. [SEP] hard drive light
3150	1094	key board	I love the feel of the key board, as well as the trackpad.	1	I love the feel of the key board, as well as the trackpad. [SEP] key board
4770	2714	Sichuan food	my picks are:  - Scallion Pancake (fried with vegetable juice, very special and tasty)  - Guizhou Chicken  - Shredded Squid Family Style (one of my personal favorites)  - Sichuan Spicy Soft Shell Crab  - Shuizhu Fish (this one is for hardcore Sichuan food fans, I wouldn't recommend to my American friends as it's very spicy.	0	my picks are:  - Scallion Pancake (fried with vegetable juice, very special and tasty)  - Guizhou Chicken  - Shredded Squid Family Style (one of my personal favorites)  - Sichuan Spicy Soft Shell Crab  - Shuizhu Fish (this one is for hardcore Sichuan food fans, I wouldn't recommend to my American friends as it's very spicy. [SEP] Sichuan food
4767	2711	Shredded Squid Family Style	my picks are:  - Scallion Pancake (fried with vegetable juice, very special and tasty)  - Guizhou Chicken  - Shredded Squid Family Style (one of my personal favorites)  - Sichuan Spicy Soft Shell Crab  - Shuizhu Fish (this one is for hardcore Sichuan food fans, I wouldn't recommend to my American friends as it's very spicy.	1	my picks are:  - Scallion Pancake (fried with vegetable juice, very special and tasty)  - Guizhou Chicken  - Shredded Squid Family Style (one of my personal favorites)  - Sichuan Spicy Soft Shell Crab  - Shuizhu Fish (this one is for hardcore Sichuan food fans, I wouldn't recommend to my American friends as it's very spicy. [SEP] Shredded Squid Family Style
5520	3464	meal	The brioche and lollies as party favors is a cute and sweet touch to a most memorable meal.	1	The brioche and lollies as party favors is a cute and sweet touch to a most memorable meal. [SEP] meal
4087	2031	price	The food is reliable and the price is moderate.	0	The food is reliable and the price is moderate. [SEP] price
4230	2174	meal	I had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good.	1	I had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good. [SEP] meal
3745	1689	dinner	Based on the reviews for dinner, this is a place I would reconsider revisiting for that, but definitely not for Dim Sum again.	1	Based on the reviews for dinner, this is a place I would reconsider revisiting for that, but definitely not for Dim Sum again. [SEP] dinner
1387	1387	LOCATION2	LOCATION2, LOCATION1 are bad news too	-1	LOCATION2, LOCATION1 are bad news too [SEP] LOCATION2
