	target	text	sentiment
0	LOCATION1	  Best bet is around LOCATION2 and LOCATION1 area in the northwest corner really nice 	1
1	LOCATION2	  Best bet is around LOCATION2 and LOCATION1 area in the northwest corner really nice 	1
2	LOCATION1	  Don't go looking at places like LOCATION1  now that IS a rough area you really wouldn't want to live in	-1
3	LOCATION1	  For gods sake don't move to LOCATION1 its horrible	-1
4	LOCATION1	  I dont like LOCATION1 at all	-1
5	LOCATION1	  I have friends living in LOCATION1 and love it	1
6	LOCATION1	  I live in LOCATION1 and I cant say I recommend it	1
7	LOCATION1	  I lived in LOCATION1 for 6 months and adored it	1
8	LOCATION1	  I really love LOCATION1,  There are some beautiful houses in the conservation area, there is  Broadway Market and it's on the tube	1
9	LOCATION1	  I think LOCATION1 is your best bet 	1
10	LOCATION1	  I would suggest LOCATION1 as a pretty good area	1
11	LOCATION1	  I'd stay away from LOCATION1	-1
12	LOCATION1	  If you are thinking South London, try LOCATION1	1
13	LOCATION1	  It would be worth you looking around LOCATION1	1
14	LOCATION1	  LOCATION1  is traditionally not a wealthy area, in fact it is amongst the poorest areas in the entire UK 	-1
15	LOCATION1	  LOCATION1 ( pronounced Gren- Itch) is a lovely town, but parts of it can be very expensive	1
16	LOCATION1	  LOCATION1 aint too bad	-1
17	LOCATION2	  LOCATION1 and LOCATION2 are the better area of West and Southwest London	1
18	LOCATION1	  LOCATION1 and LOCATION2 are the better area of West and Southwest London	1
19	LOCATION2	  LOCATION1 and LOCATION2 areas are nice i think	1
20	LOCATION1	  LOCATION1 and LOCATION2 areas are nice i think	1
21	LOCATION1	  LOCATION1 has become a bit more up-market in recent years, and it's not too bad as a place	1
22	LOCATION1	  LOCATION1 in LOCATION1 might be suitable, but it's more than 30 minutes to Central London  	1
23	LOCATION1	  LOCATION1 is a nice suburb of LOCATION1	1
24	LOCATION1	  LOCATION1 is a trendy, very edgy area with lots of live music venues	1
25	LOCATION1	  LOCATION1 is good	1
26	LOCATION1	  LOCATION1 is good  and not too shabby	1
27	LOCATION1	  LOCATION1 is just about okay	1
28	LOCATION2	  LOCATION1 is lovely and LOCATION2 (as others have said)	1
29	LOCATION1	  LOCATION1 is lovely and LOCATION2 (as others have said)	1
30	LOCATION1	  LOCATION1 is not dangerous but it is an ugly jumble of concrete with no character	-1
