	Unnamed: 0	target	text	sentiment	target_text
5564	3508	flavor	The steak was excellent and one of the best I have had (I tasted the butter intitally but in no way did it overwhelm the flavor of the meat).	0	The steak was excellent and one of the best I have had (I tasted the butter intitally but in no way did it overwhelm the flavor of the meat). [SEP] flavor
2570	514	keyboard	There is no number pad to the right of the keyboard which is a bummer.	-1	There is no number pad to the right of the keyboard which is a bummer. [SEP] keyboard
4743	2687	candle-light	Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.	1	Although the tables may be closely situated, the candle-light, food-quality and service overcompensate. [SEP] candle-light
1665	1665	LOCATION1	I live in LOCATION1 and i like the area with always something to do if you want to and also provides real calm places when you want it	1	I live in LOCATION1 and i like the area with always something to do if you want to and also provides real calm places when you want it [SEP] LOCATION1
2461	405	software	But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.	1	But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates. [SEP] software
2729	673	build	Most everything is fine with this machine: speed, capacity, build.	1	Most everything is fine with this machine: speed, capacity, build. [SEP] build
940	940	LOCATION1	Other than that, areas  such as  LOCATION1, LOCATION2 in Surrey, are nice and have a direct train to London for easy commuting 	1	Other than that, areas  such as  LOCATION1, LOCATION2 in Surrey, are nice and have a direct train to London for easy commuting  [SEP] LOCATION1
1061	1061	LOCATION2	Try to stay out of areas like LOCATION2 and LOCATION1 as the crime is quite bad	-1	Try to stay out of areas like LOCATION2 and LOCATION1 as the crime is quite bad [SEP] LOCATION2
3496	1440	service	From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.	1	From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat. [SEP] service
3720	1664	service	We were seated promptly as we had reservations, however after that the service was slow.	-1	We were seated promptly as we had reservations, however after that the service was slow. [SEP] service
3190	1134	speed	It has easy to use features and all the speed and power I could ask for.	1	It has easy to use features and all the speed and power I could ask for. [SEP] speed
516	516	LOCATION1	Is it because LOCATION1 is a ` poor and more multicultural area '	-1	Is it because LOCATION1 is a ` poor and more multicultural area ' [SEP] LOCATION1
3583	1527	raw vegatables	Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.	-1	Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders. [SEP] raw vegatables
1390	1390	LOCATION1	My friend was saying LOCATION1 is good , but the commute to Central London is very painful	1	My friend was saying LOCATION1 is good , but the commute to Central London is very painful [SEP] LOCATION1
1818	1818	LOCATION1	LOCATION1 is n't great	-1	LOCATION1 is n't great [SEP] LOCATION1
1327	1327	LOCATION1	LOCATION1 is nice	1	LOCATION1 is nice [SEP] LOCATION1
6020	3964	waiter traffic	Our tiny table for two (dinner plates hung over edge) was right in the middle of one of the lanes of waiter traffic.	-1	Our tiny table for two (dinner plates hung over edge) was right in the middle of one of the lanes of waiter traffic. [SEP] waiter traffic
4691	2635	waiter	While we enjoyed the food, we were highly disappointed by the poor service (waiter was not quite competent and SLOW service) and lack of remorse.	-1	While we enjoyed the food, we were highly disappointed by the poor service (waiter was not quite competent and SLOW service) and lack of remorse. [SEP] waiter
1487	1487	LOCATION1	  LOCATION1 is a nice area	1	  LOCATION1 is a nice area [SEP] LOCATION1
5918	3862	drinks	While most people can attest to spending over $50 on drinks in New York bars and hardly feeling a thing, the drinks here are plentiful and unique.	-1	While most people can attest to spending over $50 on drinks in New York bars and hardly feeling a thing, the drinks here are plentiful and unique. [SEP] drinks
2180	124	display	Great battery, speed, display.	1	Great battery, speed, display. [SEP] display
1585	1585	LOCATION2	) LOCATION1 is lovely , especially around LOCATION2 etc 	1	) LOCATION1 is lovely , especially around LOCATION2 etc  [SEP] LOCATION2
4934	2878	dinner reservations	We made early dinner reservations and were thoroughly impressed, reminds me of my grandfather, its old school Italian scenery with lots of fun stuff to admire.	1	We made early dinner reservations and were thoroughly impressed, reminds me of my grandfather, its old school Italian scenery with lots of fun stuff to admire. [SEP] dinner reservations
3551	1495	French food	It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.	1	It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area. [SEP] French food
5589	3533	quantity	Never in my life did I think that I could be satisfied both in taste and in quantity for $3.00 in NYC.	1	Never in my life did I think that I could be satisfied both in taste and in quantity for $3.00 in NYC. [SEP] quantity
3120	1064	charge	"It started out by randomly ceasing to charge when it was plugged in (mousing over the battery icon would read, for example, ""74%, plugged in, not charging""), requiring me to unplug it and plug it back in several times to get it to charge."	-1	"It started out by randomly ceasing to charge when it was plugged in (mousing over the battery icon would read, for example, ""74%, plugged in, not charging""), requiring me to unplug it and plug it back in several times to get it to charge. [SEP] charge"
5198	3142	Italian cheese	The pesto pizza was excellent, thin-crust pizza with a nice amount of spicy Italian cheese that I'd never heard of before.	1	The pesto pizza was excellent, thin-crust pizza with a nice amount of spicy Italian cheese that I'd never heard of before. [SEP] Italian cheese
979	979	LOCATION1	That said, you should avoid some of the poorer neighborhoods like LOCATION1	-1	That said, you should avoid some of the poorer neighborhoods like LOCATION1 [SEP] LOCATION1
393	393	LOCATION1	I live in LOCATION1, which is considered bad, but the people that live there will not go into LOCATION2 at night  y	-1	I live in LOCATION1, which is considered bad, but the people that live there will not go into LOCATION2 at night  y [SEP] LOCATION1
1471	1471	LOCATION1	  Cheap is LOCATION2, LOCATION1, but not really cool	-1	  Cheap is LOCATION2, LOCATION1, but not really cool [SEP] LOCATION1
3244	1188	icon list	The neat and organized icon list is a welcome change from cluttered and confusing desktop icons.	1	The neat and organized icon list is a welcome change from cluttered and confusing desktop icons. [SEP] icon list
2802	746	look	It's so nice to look at and the keys are easy to type with.	1	It's so nice to look at and the keys are easy to type with. [SEP] look
2533	477	BATTERY	A SECOND PROBLEM INVOLVES THE BATTERY WHICH IS ADVERTISED AS HAVING A STORAGE LIFE OF 11 HOURS BUT WHEN FULLY CHARGED SHOWS ONLY 7 HOURS OF SERVICE.	-1	A SECOND PROBLEM INVOLVES THE BATTERY WHICH IS ADVERTISED AS HAVING A STORAGE LIFE OF 11 HOURS BUT WHEN FULLY CHARGED SHOWS ONLY 7 HOURS OF SERVICE. [SEP] BATTERY
3347	1291	office	Only other thing is that if you are using this for document creation Apple doesnt provide any kind of word processor (such as works for windows), but iwork is cheap compared to office.	-1	Only other thing is that if you are using this for document creation Apple doesnt provide any kind of word processor (such as works for windows), but iwork is cheap compared to office. [SEP] office
1222	1222	LOCATION2	I like LOCATION2 and LOCATION1 etc	1	I like LOCATION2 and LOCATION1 etc [SEP] LOCATION2
959	959	LOCATION1	Plus you are ontop of LOCATION1 which is THE new in trendy place to be	1	Plus you are ontop of LOCATION1 which is THE new in trendy place to be [SEP] LOCATION1
5043	2987	atmosphere	Other than being a little crowded and a bit overpriced, the atmosphere is filled with energy (and the beautiful people of course) and the food was surprising good!	1	Other than being a little crowded and a bit overpriced, the atmosphere is filled with energy (and the beautiful people of course) and the food was surprising good! [SEP] atmosphere
1598	1598	LOCATION1	Also , LOCATION2 and LOCATION1 are good places for cheap housing , but I find them depressingly suburban	-1	Also , LOCATION2 and LOCATION1 are good places for cheap housing , but I find them depressingly suburban [SEP] LOCATION1
1537	1537	LOCATION1	 LOCATION1 is ok , but can be a bit grotty , and getting on to the M1 can be a pain , LOCATION2 , would be more beneficial , as you have the Jubilee line into London , and your only minutes away from Junction 4 of the M1 , to get to Luton	-1	 LOCATION1 is ok , but can be a bit grotty , and getting on to the M1 can be a pain , LOCATION2 , would be more beneficial , as you have the Jubilee line into London , and your only minutes away from Junction 4 of the M1 , to get to Luton [SEP] LOCATION1
4646	2590	cart attendant	Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.	-1	Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away. [SEP] cart attendant
2489	433	runs	The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.	1	The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well. [SEP] runs
4997	2941	cole slaw	I would have gotten some cole slaw and a knish if my stomach had more space.	0	I would have gotten some cole slaw and a knish if my stomach had more space. [SEP] cole slaw
5515	3459	quality	This place doesn't compare with Mamoun's in terms of price, freshness, value, and consisent quality, but that's just my opinion.	-1	This place doesn't compare with Mamoun's in terms of price, freshness, value, and consisent quality, but that's just my opinion. [SEP] quality
337	337	LOCATION1	Hope I helped LOCATION1 is a nice area with that sort of thing	1	Hope I helped LOCATION1 is a nice area with that sort of thing [SEP] LOCATION1
4386	2330	service	The portions are now very small, the sauces are overly-ambitious usually inedible while the service is still good, the restaurant, due to its popularity, seems frantic.	1	The portions are now very small, the sauces are overly-ambitious usually inedible while the service is still good, the restaurant, due to its popularity, seems frantic. [SEP] service
792	792	LOCATION1	LOCATION1 used to be better but even that has 'gone downhill'	-1	LOCATION1 used to be better but even that has 'gone downhill' [SEP] LOCATION1
2171	115	mouse	I wish the volume could be louder and the mouse didnt break after only a month.	-1	I wish the volume could be louder and the mouse didnt break after only a month. [SEP] mouse
2505	449	Photoshop	I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.	0	I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time. [SEP] Photoshop
5476	3420	food	I have been a longtime fan of Holy Basil in the East Village, and while I do believe their food has slightly slipped in quality, I have been hesitant to be disloyal.	-1	I have been a longtime fan of Holy Basil in the East Village, and while I do believe their food has slightly slipped in quality, I have been hesitant to be disloyal. [SEP] food
3828	1772	waitress	The hostess and the waitress were incredibly rude and did everything they could to rush us out.	-1	The hostess and the waitress were incredibly rude and did everything they could to rush us out. [SEP] waitress
17	17	LOCATION2	  LOCATION1 and LOCATION2 are the better area of West and Southwest London	1	  LOCATION1 and LOCATION2 are the better area of West and Southwest London [SEP] LOCATION2
4014	1958	priced	The food is great and reasonably priced.	1	The food is great and reasonably priced. [SEP] priced
5369	3313	portions	The food was pretty tradional but it was hot and good with large portions.	1	The food was pretty tradional but it was hot and good with large portions. [SEP] portions
1053	1053	LOCATION2	Try LOCATION2  and  LOCATION1	1	Try LOCATION2  and  LOCATION1 [SEP] LOCATION2
1067	1067	LOCATION1	Unfortunately LOCATION1 in general is the worst part of Greater London	-1	Unfortunately LOCATION1 in general is the worst part of Greater London [SEP] LOCATION1
2113	57	external speaker	I am using the external speaker- sound is good.	1	I am using the external speaker- sound is good. [SEP] external speaker
3915	1859	bruschetta	I plan to come here again and look forward to trying their assortment of bruschetta, panini's.....	1	I plan to come here again and look forward to trying their assortment of bruschetta, panini's..... [SEP] bruschetta
2381	325	space	The size is perfect and I do not recomend anything bigger except for any person who can exceed the limited space it gives you.	-1	The size is perfect and I do not recomend anything bigger except for any person who can exceed the limited space it gives you. [SEP] space
3524	1468	food	Fabulous service, fantastic food, and a chilled out atmosphere and environment.	1	Fabulous service, fantastic food, and a chilled out atmosphere and environment. [SEP] food
2320	264	system performance	Three, the mac book has advantages over pcs' with linux based os there is very 'few problems with system performance when it comes to a mac.	-1	Three, the mac book has advantages over pcs' with linux based os there is very 'few problems with system performance when it comes to a mac. [SEP] system performance
1896	1896	LOCATION2	LOCATION2 is very nice and LOCATION1 is also nice	1	LOCATION2 is very nice and LOCATION1 is also nice [SEP] LOCATION2
3528	1472	menu	Great food, good size menu, great service and an unpretensious setting.	1	Great food, good size menu, great service and an unpretensious setting. [SEP] menu
3420	1364	window's 7 starter	1.You can not change your desktop background (window's 7 starter does NOT support that function).	-1	1.You can not change your desktop background (window's 7 starter does NOT support that function). [SEP] window's 7 starter
2864	808	island backlit keyboard	Screen, keyboard, and mouse: If you cant see yourself spending the extra money to jump up to a Mac the beautiful screen, responsive island backlit keyboard, and fun multi-touch mouse is worth the extra money to me alone.	1	Screen, keyboard, and mouse: If you cant see yourself spending the extra money to jump up to a Mac the beautiful screen, responsive island backlit keyboard, and fun multi-touch mouse is worth the extra money to me alone. [SEP] island backlit keyboard
1558	1558	LOCATION1	 i highly recommend LOCATION1 or LOCATION2 area	1	 i highly recommend LOCATION1 or LOCATION2 area [SEP] LOCATION1
216	216	LOCATION1	Alright for some, LOCATION1 or LOCATION2 would be best 	1	Alright for some, LOCATION1 or LOCATION2 would be best  [SEP] LOCATION1
3312	1256	graphics	the graphics are awful and the wireless switch it at the top rather than the side which I am used to it being on the side.	-1	the graphics are awful and the wireless switch it at the top rather than the side which I am used to it being on the side. [SEP] graphics
5662	3606	waiters	The waiters are sweet, the food is tasty and the bill is never too large.	1	The waiters are sweet, the food is tasty and the bill is never too large. [SEP] waiters
1090	1090	LOCATION1	You could also look in LOCATION1	1	You could also look in LOCATION1 [SEP] LOCATION1
1567	1567	LOCATION1	 my grandparents  lived in LOCATION1 for a long time and it was very boring	-1	 my grandparents  lived in LOCATION1 for a long time and it was very boring [SEP] LOCATION1
1513	1513	LOCATION1	 I'd reommend you go LOCATION1, rather than LOCATION2, because there are so few tube stations in LOCATION2 London	1	 I'd reommend you go LOCATION1, rather than LOCATION2, because there are so few tube stations in LOCATION2 London [SEP] LOCATION1
363	363	LOCATION1	I don't like LOCATION1 - It's always ramo  	-1	I don't like LOCATION1 - It's always ramo   [SEP] LOCATION1
4713	2657	food	Service was good and food is wonderful.	1	Service was good and food is wonderful. [SEP] food
5809	3753	decor	Great food, great decor, great service.	1	Great food, great decor, great service. [SEP] decor
691	691	LOCATION1	LOCATION1 is in my opinion is alot nicer than LOCATION1	1	LOCATION1 is in my opinion is alot nicer than LOCATION1 [SEP] LOCATION1
1680	1680	LOCATION1	I really like LOCATION1	1	I really like LOCATION1 [SEP] LOCATION1
2083	27	operating system	I love the operating system and the preloaded software.	1	I love the operating system and the preloaded software. [SEP] operating system
4407	2351	service	Not only is the cuisine the best around, the service has always been attentive and charming.	1	Not only is the cuisine the best around, the service has always been attentive and charming. [SEP] service
424	424	LOCATION2	I think LOCATION2 is better but then I'm prejudiced LOCATION1 is one of the most expensive areas in London	1	I think LOCATION2 is better but then I'm prejudiced LOCATION1 is one of the most expensive areas in London [SEP] LOCATION2
5362	3306	prices	For those prices and the dressed up atmosphere you expect more and should get more.	-1	For those prices and the dressed up atmosphere you expect more and should get more. [SEP] prices
5928	3872	prices	The prices cannot be beat for the quality, quantity, freshness and taste.	1	The prices cannot be beat for the quality, quantity, freshness and taste. [SEP] prices
5871	3815	dinner	both are very reasonably priced (around $8 for dinner and $5 for lunch), and are delicious and filling.	1	both are very reasonably priced (around $8 for dinner and $5 for lunch), and are delicious and filling. [SEP] dinner
205	205	LOCATION2	A bit further out towards the suburbs are LOCATION1 and LOCATION2 which are pleasant areas 	1	A bit further out towards the suburbs are LOCATION1 and LOCATION2 which are pleasant areas  [SEP] LOCATION2
4409	2353	food portions	Waiters tend to forget drinks completely, food portions are so tiny, two people have trouble sharing one entree.	-1	Waiters tend to forget drinks completely, food portions are so tiny, two people have trouble sharing one entree. [SEP] food portions
2980	924	games	i love the size of the computer since i play games on it.	0	i love the size of the computer since i play games on it. [SEP] games
969	969	LOCATION2	Somewhere like LOCATION1 or LOCATION2 would be a nice comprimise	1	Somewhere like LOCATION1 or LOCATION2 would be a nice comprimise [SEP] LOCATION2
2744	688	connection with the internet	It is fast booting up , shutting down, and connection with the internet.	1	It is fast booting up , shutting down, and connection with the internet. [SEP] connection with the internet
1874	1874	LOCATION1	LOCATION1 which is nearby is also very nice some property expense	1	LOCATION1 which is nearby is also very nice some property expense [SEP] LOCATION1
